region,func,pred,actual,mae,rf_refined
R2,1165,1.0121902003884315,1.0,0.012190200388431549,1.0
R2,33,1.0121902003884315,1.0,0.012190200388431549,1.0
R2,264,1.0121902003884315,1.0,0.012190200388431549,1.0
R3,43,1.44441394880414,1.0,0.4444139488041401,1.0
R3,22,0.29016796666195543,0.0,0.29016796666195543,0.33
R5,237,1.0121902003884315,1.0,0.012190200388431549,1.0
R5,289,1.0121902003884315,1.0,0.012190200388431549,1.0
R5,293,1.0121902003884315,1.0,0.012190200388431549,1.0
